"id","scientificName","scientificNameAuthorship","eventDate","decimalLongitude","decimalLatitude","institutionCode","collectionCode","catalogNumber","scientificNameID","originalscientificname","acceptedNameUsage","acceptedNameUsageID","accessRights","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","class","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","countryCode","county","dataGeneralizations","datasetID","dateIdentified","depth","division","dynamicProperties","establishmentMeans","eventID","eventRemarks","eventTime","family","fieldNotes","fieldNumber","footprintSRS","footprintWKT","forma","genus","geodeticDatum","habitat","higherClassification","higherGeography","higherGeographyID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identifiedBy","individualCount","individualID","informationWithheld","infraclass","infrakingdom","infraorder","infraphylum","institutionID","island","islandGroup","kingdom","language","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","materialSampleID","maximumDepthInMeters","minimumDepthInMeters","modified","municipality","nameAccordingTo","nameAccordingToID","namePublishedIn","namePublishedInID","occurrenceID","occurrenceRemarks","occurrenceStatus","order","originalNameUsage","originalNameUsageID","otherCatalogNumbers","ownerInstitutionCode","parvorder","phylum","qc","recordNumber","recordedBy","references","reproductiveCondition","resource_id","rights","rightsHolder","section","sex","source","species","stateProvince","subclass","subdivision","subfamily","subforma","subgenus","subkingdom","suborder","subphylum","subsection","subspecies","subterclass","subtribe","subvariety","superclass","superfamily","superorder","supertribe","taxonConceptID","taxonID","taxonRank","taxonRemarks","taxonomicStatus","taxonomicgroup","tribe","type","typeStatus","valid_id","variety","vernacularName","waterBody","worms_id","year"
705116458,"Pelagia noctiluca","(Forsskål, 1775)","2012-04-21 12:00:00",-47.01667,47,"The Atlantic reference Centre","ARC","79414","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,"PreservedSpecimen",,,"Scyphozoa",,,"0.01667",,,,,"ARC",,1000,,,,,,,"Pelagiidae",,"Z79414",,,,"Pelagia",,,,,,,,,,,,,,,,,,"ARC",,,"Animalia","En",,"Flemish Cap, NL",,,,,"1000.00","1000.00","2015-07-31 08:46:20",,,,,,"ARC_79414",,,"Semaeostomeae",,,,,,"Cnidaria",246938751,,,,,29,,"The Huntsman Marine Science Centre and Fisheries & Oceans Canada",,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,"Collection",,699608,,,,135305,"2012"
705116468,"Pelagia noctiluca","(Forsskål, 1775)","2014-07-14 12:00:00",-49.5,49.85,"The Atlantic reference Centre","ARC","79460","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,"PreservedSpecimen",,,"Scyphozoa",,,"0.01667",,,,,"ARC",,1000,,,,,,,"Pelagiidae",,"Z79460",,,,"Pelagia",,,,,,,,,,,,,,,,,,"ARC",,,"Animalia","En",,"Bonavista Bay, NL",,,,,"1000.00","1000.00","2015-08-06 13:55:20",,,,,,"ARC_79460",,,"Semaeostomeae",,,,,,"Cnidaria",246938751,,,,,29,,"The Huntsman Marine Science Centre and Fisheries & Oceans Canada",,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,"Collection",,699608,,,,135305,"2014"
705116489,"Pelagia noctiluca","(Forsskål, 1775)","2013-04-25 12:00:00",-49,50,"The Atlantic reference Centre","ARC","79518","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,"PreservedSpecimen",,,"Scyphozoa",,,"0.01667",,,,,"ARC",,1000,,,,,,,"Pelagiidae",,"Z79518",,,,"Pelagia",,,,,,,,,,,,,,,,,,"ARC",,,"Animalia","En",,"Bonavista Bay, NL",,,,,"1000.00","1000.00","2015-08-12 09:33:48",,,,,,"ARC_79518",,,"Semaeostomeae",,,,,,"Cnidaria",246938751,,,,,29,,"The Huntsman Marine Science Centre and Fisheries & Oceans Canada",,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,"Collection",,699608,,,,135305,"2013"
705116490,"Pelagia noctiluca","(Forsskål, 1775)","2013-04-17 12:00:00",-49.68333,42.58833,"The Atlantic reference Centre","ARC","79517","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,"PreservedSpecimen",,,"Scyphozoa",,,"0.01667",,,,,"ARC",,1000,,,,,,,"Pelagiidae",,"Z79517",,,,"Pelagia",,,,,,,,,,,,,,,,,,"ARC",,,"Animalia","En",,"Southeast Grand Banks, NL",,,,,"1000.00","1000.00","2015-08-12 09:27:13",,,,,,"ARC_79517",,,"Semaeostomeae",,,,,,"Cnidaria",245890175,,,,,29,,"The Huntsman Marine Science Centre and Fisheries & Oceans Canada",,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,"Collection",,699608,,,,135305,"2013"
705116510,"Pelagia noctiluca","(Forsskål, 1775)","2014-04-14 12:00:00",-55.06783000000001,44.98717,"The Atlantic reference Centre","ARC","79467","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,"PreservedSpecimen",,,"Scyphozoa",,,"0.01667",,,,,"ARC",,,,,,,,,"Pelagiidae",,"Z79467",,,,"Pelagia",,,,,,,,,,,,,,,,,,"ARC",,,"Animalia","En",,"Southeast St Pierre Bank, NL",,,,,,,"2015-08-06 15:53:09",,,,,,"ARC_79467",,,"Semaeostomeae",,,,,,"Cnidaria",985136255,,,,,29,,"The Huntsman Marine Science Centre and Fisheries & Oceans Canada",,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,"Collection",,699608,,,,135305,"2014"
705116513,"Pelagia noctiluca","(Forsskål, 1775)","2014-11-29 12:00:00",-53.25,54.63333000000001,"The Atlantic reference Centre","ARC","79464","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,"PreservedSpecimen",,,"Scyphozoa",,,"0.01667",,,,,"ARC",,,,,,,,,"Pelagiidae",,"Z79464",,,,"Pelagia",,,,,,,,,,,,,,,,,,"ARC",,,"Animalia","En",,"Seal Island, NL",,,,,,,"2015-08-06 15:01:10",,,,,,"ARC_79464",,,"Semaeostomeae",,,,,,"Cnidaria",179829887,,,,,29,,"The Huntsman Marine Science Centre and Fisheries & Oceans Canada",,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,"Collection",,699608,,,,135305,"2014"
705116514,"Pelagia noctiluca","(Forsskål, 1775)","2014-07-13 12:00:00",-43.4,47,"The Atlantic reference Centre","ARC","79463","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,"PreservedSpecimen",,,"Scyphozoa",,,"0.01667",,,,,"ARC",,1000,,,,,,,"Pelagiidae",,"Z79463",,,,"Pelagia",,,,,,,,,,,,,,,,,,"ARC",,,"Animalia","En",,"Flemish Cap, NL",,,,,"1000.00","1000.00","2015-08-06 14:51:33",,,,,,"ARC_79463",,,"Semaeostomeae",,,,,,"Cnidaria",246938751,,,,,29,,"The Huntsman Marine Science Centre and Fisheries & Oceans Canada",,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,"Collection",,699608,,,,135305,"2014"
707941491,"Pelagia noctiluca","(Forsskål, 1775)",,93,10,"CMLRE",,"40215","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa","IndOBIS Dataset",,,,,,,,"2015-06-04",,,,,,"This dataset is transferred from National Institute of Oceanography by Dr. Mohideen Wafar",,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,,,,,,,,,,,"Animalia",,,"Andaman and Nicobar",,,,,,,"2015-06-04",,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",850919038,,,,,3872,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,
707941492,"Pelagia noctiluca","(Forsskål, 1775)",,80.29444000000001,13.0925,"CMLRE",,"40215","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,,,,"Scyphozoa","IndOBIS Dataset",,,,,,,,"2015-06-04",,,,,,"This dataset is transferred from National Institute of Oceanography by Dr. Mohideen Wafar",,"Pelagiidae",,,,,,"Pelagia",,,,,,,,,,,,,,,,,,,,,"Animalia",,,"Chennai, Tamil Nadu, India",,,,,,,"2015-06-04",,,,,,,,,"Semaeostomeae",,,,,,"Cnidaria",871890558,,,,,3872,,,,,,"Pelagia noctiluca",,"Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,
717649325,"Pelagia noctiluca","(Forsskål, 1775)","2011-03-13 12:00:00",-84.2615,28.5988333333,"UF","Invertebrate Zoology","7723-Cnidaria","urn:lsid:marinespecies.org:taxname:135305","Pelagia noctiluca",,,,,,,,"PreservedSpecimen",,,"Scyphozoa",,"West Atlantic",,,,,,"UF_Invertebrates",,,,,,,,,"Pelagiidae",,,,,,"Pelagia",,,,"USA, Florida",,,,,,,,,,,,,,,,,"Animalia",,,"Gulf of Mexico, N of St. Petersburg",,,,,,,,,,,,,"1727EE41-304D-4F2C-87B8-7A158B46D301",,"Present","Semaeostomeae",,,,,,"Cnidaria",985136255,,"Paulay, Gustav; Bemis, Mandy; Moore, Jenna; Evans, Nat; Michonneau, François; Thacker, Cheryl; Williams, Raph",,,4442,,,,,,"Pelagia noctiluca","Florida","Discomedusae",,,,,,,,,,,,,,,,,,,,,,"Scyphozoa",,,,699608,,,,135305,"2011"
